MovieID,Title,Genres,image_url,num_rating,avg_rating,weighted_rating
1,Toy Story (1995),Animation|Children's|Comedy,https://liangfgithub.github.io/MovieImages/1.jpg?raw=true,2077,4.146846413095811,4.081839745832486
6,Heat (1995),Action|Crime|Thriller,https://liangfgithub.github.io/MovieImages/6.jpg?raw=true,940,3.8787234042553194,3.8124363688429295
10,GoldenEye (1995),Action|Adventure|Thriller,https://liangfgithub.github.io/MovieImages/10.jpg?raw=true,888,3.5405405405405403,3.5501026884016986
11,"American President, The (1995)",Comedy|Drama|Romance,https://liangfgithub.github.io/MovieImages/11.jpg?raw=true,1033,3.7938044530493706,3.7498396502272855
14,Nixon (1995),Drama,https://liangfgithub.github.io/MovieImages/14.jpg?raw=true,153,3.542483660130719,3.5674251400722428
16,Casino (1995),Drama|Thriller,https://liangfgithub.github.io/MovieImages/16.jpg?raw=true,682,3.7932551319648096,3.7332344776385527
17,Sense and Sensibility (1995),Drama|Romance,https://liangfgithub.github.io/MovieImages/17.jpg?raw=true,835,4.027544910179641,3.9186061363429334
21,Get Shorty (1995),Action|Comedy|Drama,https://liangfgithub.github.io/MovieImages/21.jpg?raw=true,1356,3.6238938053097347,3.616867353907406
25,Leaving Las Vegas (1995),Drama|Romance,https://liangfgithub.github.io/MovieImages/25.jpg?raw=true,980,3.6510204081632653,3.636022753448822
26,Othello (1995),Drama,https://liangfgithub.github.io/MovieImages/26.jpg?raw=true,100,3.53,3.567623935938559
28,Persuasion (1995),Romance,https://liangfgithub.github.io/MovieImages/28.jpg?raw=true,179,4.055865921787709,3.770697945338465
29,"City of Lost Children, The (1995)",Adventure|Sci-Fi,https://liangfgithub.github.io/MovieImages/29.jpg?raw=true,403,4.062034739454094,3.8693229050333096
32,Twelve Monkeys (1995),Drama|Sci-Fi,https://liangfgithub.github.io/MovieImages/32.jpg?raw=true,1511,3.945731303772336,3.8905427672074513
34,Babe (1995),Children's|Comedy|Drama,https://liangfgithub.github.io/MovieImages/34.jpg?raw=true,1751,3.8914905768132497,3.8501000411914683
36,Dead Man Walking (1995),Drama,https://liangfgithub.github.io/MovieImages/36.jpg?raw=true,928,3.9579741379310347,3.873167563827087
39,Clueless (1995),Comedy|Romance,https://liangfgithub.github.io/MovieImages/39.jpg?raw=true,1362,3.6233480176211454,3.6164376653188994
41,Richard III (1995),Drama|War,https://liangfgithub.github.io/MovieImages/41.jpg?raw=true,242,3.958677685950413,3.7598479964534617
47,Seven (Se7en) (1995),Crime|Thriller,https://liangfgithub.github.io/MovieImages/47.jpg?raw=true,1137,4.106420404573439,4.005735212069358
50,"Usual Suspects, The (1995)",Crime|Thriller,https://liangfgithub.github.io/MovieImages/50.jpg?raw=true,1783,4.517106001121705,4.394112281968194
52,Mighty Aphrodite (1995),Comedy,https://liangfgithub.github.io/MovieImages/52.jpg?raw=true,431,3.640371229698376,3.6177266943728474
58,"Postino, Il (The Postman) (1994)",Drama|Romance,https://liangfgithub.github.io/MovieImages/58.jpg?raw=true,501,4.093812375249501,3.9144738292878856
62,Mr. Holland's Opus (1995),Drama,https://liangfgithub.github.io/MovieImages/62.jpg?raw=true,541,3.6968576709796674,3.6584845041270753
69,Friday (1995),Comedy,https://liangfgithub.github.io/MovieImages/69.jpg?raw=true,319,3.6551724137931036,3.6214377322819638
73,"Misérables, Les (1995)",Drama|Musical,https://liangfgithub.github.io/MovieImages/73.jpg?raw=true,224,3.8169642857142856,3.688328426265316
94,Beautiful Girls (1996),Drama,https://liangfgithub.github.io/MovieImages/94.jpg?raw=true,182,3.7252747252747254,3.639444294832331
101,Bottle Rocket (1996),Comedy,https://liangfgithub.github.io/MovieImages/101.jpg?raw=true,253,3.869565217391304,3.7209136832132077
104,Happy Gilmore (1996),Comedy,https://liangfgithub.github.io/MovieImages/104.jpg?raw=true,682,3.526392961876833,3.5420357337540795
110,Braveheart (1995),Action|Drama|War,https://liangfgithub.github.io/MovieImages/110.jpg?raw=true,2443,4.234957020057307,4.169954904367599
111,Taxi Driver (1976),Drama|Thriller,https://liangfgithub.github.io/MovieImages/111.jpg?raw=true,1240,4.183870967741935,4.076210105387239
123,Chungking Express (1994),Drama|Mystery|Romance,https://liangfgithub.github.io/MovieImages/123.jpg?raw=true,115,3.869565217391304,3.6676154428038714
125,Flirting With Disaster (1996),Comedy,https://liangfgithub.github.io/MovieImages/125.jpg?raw=true,318,3.8333333333333335,3.7177508597950077
141,"Birdcage, The (1996)",Comedy,https://liangfgithub.github.io/MovieImages/141.jpg?raw=true,682,3.5498533724340176,3.558844414535132
147,"Basketball Diaries, The (1995)",Drama,https://liangfgithub.github.io/MovieImages/147.jpg?raw=true,181,3.541436464088398,3.5654559109991353
150,Apollo 13 (1995),Drama,https://liangfgithub.github.io/MovieImages/150.jpg?raw=true,1251,4.073541167066347,3.986237528641876
151,Rob Roy (1995),Drama|Romance|War,https://liangfgithub.github.io/MovieImages/151.jpg?raw=true,554,3.588447653429603,3.5861928587546785
154,Belle de jour (1967),Drama,https://liangfgithub.github.io/MovieImages/154.jpg?raw=true,168,3.7261904761904763,3.6370514974886263
161,Crimson Tide (1995),Drama|Thriller|War,https://liangfgithub.github.io/MovieImages/161.jpg?raw=true,760,3.723684210526316,3.6864408089669563
162,Crumb (1994),Documentary,https://liangfgithub.github.io/MovieImages/162.jpg?raw=true,491,4.063136456211812,3.892321768317874
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,https://liangfgithub.github.io/MovieImages/164.jpg?raw=true,379,3.5672823218997363,3.5732226150966637
165,Die Hard: With a Vengeance (1995),Action|Thriller,https://liangfgithub.github.io/MovieImages/165.jpg?raw=true,825,3.561212121212121,3.566228951225325
176,Living in Oblivion (1995),Comedy,https://liangfgithub.github.io/MovieImages/176.jpg?raw=true,205,3.9170731707317072,3.72639676716068
180,Mallrats (1995),Comedy,https://liangfgithub.github.io/MovieImages/180.jpg?raw=true,451,3.5476718403547673,3.560360680711854
190,Safe (1995),Thriller,https://liangfgithub.github.io/MovieImages/190.jpg?raw=true,100,3.75,3.6271012227086343
194,Smoke (1995),Drama,https://liangfgithub.github.io/MovieImages/194.jpg?raw=true,213,3.755868544600939,3.658449128206676
